"tg_ecotypeid","size","perimeter","length","width"
6140,0.1525,1.4795,0.524,0.3675
6142,0.143,1.4255,0.498666666666667,0.361333333333333
6145,0.160333333333333,1.51766666666667,0.537,0.377
6148,0.13375,1.37025,0.47775,0.3515
6149,0.133,1.37216666666667,0.4865,0.342833333333333
6151,0.132833333333333,1.36766666666667,0.478,0.349833333333333
6154,0.158,1.5085,0.537,0.3675
6163,0.1665,1.549,0.5505,0.377
6166,0.147833333333333,1.45333333333333,0.518166666666667,0.355666666666667
6169,0.1665,1.56966666666667,0.574833333333333,0.362
6171,0.175333333333333,1.59733333333333,0.577,0.381666666666667
6173,0.162333333333333,1.53566666666667,0.562666666666667,0.359666666666667
6174,0.1635,1.537,0.5545,0.3695
6177,0.149,1.451,0.513333333333333,0.365333333333333
6180,0.14,1.41075,0.5005,0.35075
6184,0.158333333333333,1.503,0.538333333333333,0.367833333333333
6188,0.137333333333333,1.40633333333333,0.51,0.34
6189,0.126,1.3385,0.4765,0.3325
6191,0.118333333333333,1.29066666666667,0.459333333333333,0.324666666666667
6192,0.125666666666667,1.32466666666667,0.457666666666667,0.347
6193,0.12,1.301,0.4655,0.3245
6194,0.1245,1.334,0.4755,0.3285
6195,0.1285,1.347,0.47425,0.34225
6197,0.132,1.37766666666667,0.495666666666667,0.336333333333333
6198,0.135666666666667,1.39566666666667,0.5,0.341833333333333
6201,0.140833333333333,1.42016666666667,0.509166666666667,0.347166666666667
6202,0.127166666666667,1.34216666666667,0.475166666666667,0.336833333333333
6203,0.140666666666667,1.40866666666667,0.495166666666667,0.357333333333333
6209,0.148166666666667,1.46483333333333,0.526166666666667,0.354166666666667
6210,0.1535,1.4845,0.535,0.356
6217,0.155666666666667,1.48633333333333,0.522666666666667,0.375666666666667
6218,0.152333333333333,1.474,0.521,0.366666666666667
6220,0.153333333333333,1.47166666666667,0.521166666666667,0.366
6221,0.167333333333333,1.56566666666667,0.562666666666667,0.374
6231,0.148,1.4415,0.5115,0.3535
