id,cohort,tray,row,col,genotype,generation,size1,size2,size3,observer,
652,1,4,F,1,6197x6127 rep2,F8,,,,,
1003,1,4,F,2,9323x8369 rep2,F8,,,,,
1423,1,4,F,3,6071,parent,,,,,
1486,1,4,F,4,6111,parent,,,,,
1276,1,4,F,5,997x8307 rep1,F8,,,,,
1621,1,4,F,6,6201,parent,,,,,
1810,1,4,G,1,9356,parent,,,,,
1414,1,4,G,2,6064,parent,,,,,
736,1,4,G,3,6240x5831 rep1,F8,,,,,
1318,1,4,G,4,1367,parent,,,,,
1795,1,4,G,5,9336,parent,,,,,
94,1,4,G,6,1585x9427 rep2,F8,,,,,
1300,1,4,H,1,1158,parent,,,,,
421,1,4,H,2,6124x6184 rep1,F8,,,,,
727,1,4,H,3,6237x6090 rep2,F8,,,,,
19,1,4,H,4,1062x6108 rep1,F8,,,,,
226,1,4,H,5,6036x1318 rep2,F8,,,,,
1594,1,4,H,6,6184,parent,,,,,
829,1,5,A,1,6974x6198 rep2,F8,,,,,
1102,1,5,A,2,9392x6073 rep1,F8,,,,,
262,1,5,A,3,6046x6191 rep2,F8,,,,,
1471,1,5,A,4,6105,parent,,,,,
1579,1,5,A,5,6171,parent,,,,,
442,1,5,A,6,6127x6918 rep2,F8,,,,,
403,1,5,B,1,6114x9381 rep2,F8,,,,,
1174,1,5,B,2,9421x8256 rep1,F8,,,,,
901,1,5,B,3,8256x8376 rep2,F8,,,,,
373,1,5,B,4,6106x6071 rep1,F8,,,,,
1741,1,5,B,5,9369x9434_rep2,parent,,,,,
1543,1,5,B,6,6140,parent,,,,,
757,1,5,C,1,6244x6173 rep2,F8,,,,,
745,1,5,C,2,6241x1552 rep2,F8,,,,,
337,1,5,C,3,6094x9369 rep2,F8,,,,,
385,1,5,C,4,6108x6192 rep2,F8,,,,,
688,1,5,C,5,6210x6134 rep2,F8,,,,,
346,1,5,C,6,6098x9451 rep1,F8,,,,,
1867,1,5,D,1,9407,parent,,,,,
973,1,5,D,2,8423x8240 rep2,F8,,,,,
1186,1,5,D,3,9433x6030 rep1,F8,,,,,
1858,1,5,D,4,9402,parent,,,,,
37,1,5,D,5,1137x6237 rep1,F8,,,,,
646,1,5,D,6,6195x1074 rep2,F8,,,,,
817,1,5,E,1,6965x9412 rep2,F8,,,,,
1552,1,5,E,2,6148,parent,,,,,
991,1,5,E,3,9058x6112 rep2,F8,,,,,
175,1,5,E,4,6020x6030 rep2,F8,,,,,
1618,1,5,E,5,6198,parent,,,,,
889,1,5,E,6,8242x6171 rep2,F8,,,,,
40,1,5,F,1,1137x6237 rep2,F8,,,,,
13,1,5,F,2,1061x6131 rep1,F8,,,,,
1516,1,5,F,3,6127,parent,,,,,
793,1,5,F,4,6413x8351 rep2,F8,,,,,
1105,1,5,F,5,9392x6073 rep2,F8,,,,,
292,1,5,F,6,6074x9421 rep1,F8,,,,,
310,1,5,G,1,6086x8222 rep1,F8,,,,,
148,1,5,G,2,6012x997 rep1,F8,,,,,
49,1,5,G,3,1254x6076 rep1,F8,,,,,
1225,1,5,G,4,9453x6106 rep2,F8,,,,,
529,1,5,G,5,6150x6218 rep1,F8,,,,,
400,1,5,G,6,6114x9381 rep1,F8,,,,,
1678,1,5,H,1,6258,parent,,,,,
64,1,5,H,2,1317x6276 rep2,F8,,,,,
1438,1,5,H,3,6086,parent,,,,,
895,1,5,H,4,8247x6154 rep2,F8,,,,,
100,1,5,H,5,175x6913 rep2,F8,,,,,
538,1,5,H,6,6151x9408 rep2,F8,,,,,
787,1,6,A,1,6284x5830 rep2,F8,,,,,
16,1,6,A,2,1061x6131 rep2,F8,,,,,
166,1,6,A,3,6019x6012 rep1,F8,,,,,
352,1,6,A,4,6099x9394 rep2,F8,,,,,
250,1,6,A,5,6041x6153 rep2,F8,,,,,
1210,1,6,A,6,9451x9437 rep1,F8,,,,,
721,1,6,B,1,6231x6039 rep2,F8,,,,,
