id,cohort,tray,row,col,genotype,generation
859,1,12,H,3,8230x6195 rep2,F8
508,1,12,H,4,6142x7517 rep2,F8
679,1,12,H,5,6209x6151 rep1,F8
1099,1,12,H,6,9391x9353 rep2,F8
1366,1,13,A,1,6019,parent
97,1,13,A,2,175x6913 rep1,F8
1600,1,13,A,3,6191,parent
1321,1,13,A,4,1435,parent
46,1,13,A,5,1158x6092 rep2,F8
673,1,13,A,6,6203x9321 rep1,F8
1483,1,13,B,1,6109,parent
1291,1,13,B,2,1063,parent
844,1,13,B,3,8222x6243 rep1,F8
1585,1,13,B,4,6173,parent
1525,1,13,B,5,6132,parent
661,1,13,B,6,6201x9399 rep1,F8
805,1,13,C,1,6917x6011 rep2,F8
1495,1,13,C,2,6114,parent
1540,1,13,C,3,6138,parent
1630,1,13,C,4,6209,parent
1834,1,13,C,5,9386,parent
559,1,13,C,6,6166x7519 rep1,F8
1561,1,13,D,1,6151,parent
913,1,13,D,2,8259x6217 rep2,F8
1744,1,13,D,3,8259,parent
580,1,13,D,4,6172x6148 rep2,F8
1339,1,13,D,5,5831,parent
274,1,13,D,6,6069x9470 rep2,F8
1705,1,13,E,1,7517,parent
676,1,13,E,2,6203x9321 rep2,F8
328,1,13,E,3,6092x6125 rep1,F8
1303,1,13,E,4,1254,parent
208,1,13,E,5,6030x992 rep2,F8
1918,1,13,E,6,9470,parent
1408,1,13,F,1,6043,parent
1234,1,13,F,2,9455x9371 rep1,F8
1042,1,13,F,3,9363x6070 rep1,F8
1441,1,13,F,4,6088,parent
1861,1,13,F,5,9404,parent
1786,1,13,F,6,9321,parent
1315,1,13,G,1,1363,parent
1450,1,13,G,2,6094,parent
1777,1,13,G,3,8426,parent
418,1,13,G,4,6122x6252 rep2,F8
748,1,13,G,5,6243x6180 rep1,F8
694,1,13,G,6,6216x6258 rep2,F8
1492,1,13,H,1,6113,parent
1066,1,13,H,2,9382x6035 rep1,F8
769,1,13,H,3,6255x6136 rep2,F8
1297,1,13,H,4,1137,parent
1762,1,13,H,5,8376,parent
1909,1,13,H,6,9453,parent
772,1,14,A,1,6258x1257 rep1,F8
1660,1,14,A,2,6240,parent
712,1,14,A,3,6220x9339 rep2,F8
967,1,14,B,1,8422x6209 rep2,F8
1288,1,14,B,2,1062,parent
232,1,14,B,3,6038x6039 rep2,F8
142,1,14,C,1,5867x6913 rep2,F8
1138,1,14,C,2,9407x6040 rep1,F8
1048,1,14,C,3,9371x6021 rep1,F8
1327,1,14,D,1,1585,parent
1747,1,14,D,2,8283,parent
709,1,14,D,3,6220x9339 rep1,F8
865,1,14,E,1,8231x8386 rep2,F8
307,1,14,E,2,6085x9409 rep2,F8
1759,1,14,E,3,8369,parent
667,1,14,F,1,6202x9402 rep1,F8
1018,1,14,F,2,9343x8259 rep1,F8
610,1,14,F,3,6189x6220 rep2,F8
1735,1,14,G,1,8247,parent
1714,1,14,G,2,8227,parent
1612,1,14,H,1,6195,parent
1060,1,14,H,2,9381x6198 rep1,F8
365,2,15,A,1,6104x6034 rep2,F8
1268,2,15,A,2,991x6210 rep2,F8
725,2,15,A,3,6237x6090 rep1,F8
1556,2,15,A,4,6149,parent
434,2,15,A,5,6126x6172 rep1,F8
1142,2,15,A,6,9407x6040 rep2,F8
713,2,15,B,1,6220x9339 rep2,F8
929,2,15,B,2,8334x8231 rep1,F8
1601,2,15,B,3,6191,parent
1262,2,15,B,4,9481x9399 rep2,F8
1676,2,15,B,5,6255,parent
1307,2,15,B,6,1257,parent
1058,2,15,C,1,9380x1063 rep2,F8
1721,2,15,C,2,8231,parent
983,2,15,C,3,9057x9382 rep1,F8
1055,2,15,C,4,9380x1063 rep1,F8
404,2,15,C,5,6114x9381 rep2,F8
1367,2,15,C,6,6019,parent
1424,2,15,D,1,6071,parent
869,2,15,D,2,8237x6194 rep1,F8
656,2,15,D,3,6198x6118 rep1,F8
875,2,15,D,4,8240x6036 rep1,F8
794,2,15,D,5,6413x8351 rep2,F8
806,2,15,D,6,6917x6011 rep2,F8
935,2,15,E,1,8351x6150 rep1,F8
791,2,15,E,2,6413x8351 rep1,F8
188,2,15,E,3,6024x1367 rep1,F8
953,2,15,E,4,8386x6241 rep1,F8
320,2,15,E,5,6088x9386 rep2,F8
746,2,15,E,6,6241x1552 rep2,F8
1406,2,15,F,1,6041,parent
275,2,15,F,2,6069x9470 rep2,F8
1250,2,15,F,3,9471x9450 rep2,F8
1088,2,15,F,4,9390x8283 rep2,F8
782,2,15,F,5,6276x9363 rep2,F8
170,2,15,F,6,6019x6012 rep2,F8
1523,2,15,G,1,6131,parent
1157,2,15,G,2,9412x6024 rep1,F8
1754,2,15,G,3,8334,parent
674,2,15,G,4,6203x9321 rep1,F8
797,2,15,G,5,6913x6149 rep1,F8
410,2,15,G,6,6115x1585 rep2,F8
104,2,15,H,1,5829x9336 rep1,F8
1412,2,15,H,2,6046,parent
551,2,15,H,3,6163x6111 rep2,F8
1664,2,15,H,4,6241,parent
1517,2,15,H,5,6127,parent
686,2,15,H,6,6210x6134 rep1,F8
1217,2,16,A,1,9452x6114 rep1,F8
131,2,16,A,2,5856x9452 rep2,F8
890,2,16,A,3,8242x6171 rep2,F8
1925,2,16,A,4,9476,parent
752,2,16,A,5,6243x6180 rep2,F8
587,2,16,A,6,6173x9383 rep2,F8
938,2,16,B,1,8351x6150 rep2,F8
50,2,16,B,2,1254x6076 rep1,F8
1178,2,16,B,3,9421x8256 rep2,F8
1259,2,16,B,4,9481x9399 rep1,F8
341,2,16,B,5,6097x1318 rep1,F8
1739,2,16,B,6,8256,parent
1484,2,16,C,1,6109,parent
659,2,16,C,2,6198x6118 rep2,F8
95,2,16,C,3,1585x9427 rep2,F8
1775,2,16,C,4,8423,parent
1622,2,16,C,5,6201,parent
1253,2,16,C,6,9476x991 rep1,F8
116,2,16,D,1,5831x8237 rep1,F8
359,2,16,D,2,6100x6069 rep2,F8
1619,2,16,D,3,6198,parent
371,2,16,D,4,6105x5829 rep2,F8
1481,2,16,D,5,6108,parent
1886,2,16,D,6,9421,parent
584,2,16,E,1,6173x9383 rep1,F8
140,2,16,E,2,5867x6913 rep1,F8
1595,2,16,E,3,6184,parent
5,2,16,E,4,1002x6038 rep2,F8
137,2,16,E,5,5865x8426 rep2,F8
98,2,16,E,6,175x6913 rep1,F8
1343,2,16,F,1,5835,parent
1382,2,16,F,2,6025,parent
563,2,16,F,3,6166x7519 rep2,F8
617,2,16,F,4,6191x6965 rep2,F8
989,2,16,F,5,9058x6112 rep1,F8
596,2,16,F,6,6180x1317 rep1,F8
803,2,16,G,1,6917x6011 rep1,F8
530,2,16,G,2,6150x6218 rep1,F8
347,2,16,G,3,6098x9451 rep1,F8
1610,2,16,G,4,6194,parent
1352,2,16,G,5,5867,parent
1685,2,16,G,6,6284,parent
281,2,16,H,1,6070x6019 rep2,F8
1361,2,16,H,2,6013,parent
509,2,16,H,3,6142x7517 rep2,F8
1841,2,16,H,4,9390,parent
1475,2,16,H,5,6106,parent
716,2,16,H,6,6221x9455 rep1,F8
257,2,17,A,1,6043x9453 rep2,F8
197,2,17,A,2,6024x6124 rep2,F8
611,2,17,A,3,6189x6220 rep2,F8
437,2,17,A,4,6126x6172 rep2,F8
1007,2,17,A,5,9332x6413 rep1,F8
1688,2,17,A,6,6413,parent
923,2,17,B,1,8307x9481 rep1,F8
1448,2,17,B,2,6092,parent
824,2,17,B,3,6974x6102 rep2,F8
1541,2,17,B,4,6138,parent
302,2,17,B,5,6076x1254 rep2,F8
1232,2,17,B,6,9454x1363 rep2,F8
1631,2,17,C,1,6209,parent
1355,2,17,C,2,6011,parent
749,2,17,C,3,6243x6180 rep1,F8
866,2,17,C,4,8231x8386 rep2,F8
1628,2,17,C,5,6203,parent
1814,2,17,C,6,9363,parent
1112,2,17,D,1,9395x9454 rep2,F8
176,2,17,D,2,6020x6030 rep2,F8
350,2,17,D,3,6098x9451 rep2,F8
1358,2,17,D,4,6012,parent
1184,2,17,D,5,9427x8387 rep2,F8
1643,2,17,D,6,6218,parent
1115,2,17,E,1,9399x6097 rep1,F8
101,2,17,E,2,175x6913 rep2,F8
857,2,17,E,3,8230x6195 rep1,F8
1646,2,17,E,4,6220,parent
1214,2,17,E,5,9451x9437 rep2,F8
1100,2,17,E,6,9391x9353 rep2,F8
1931,2,17,F,1,991,parent
77,2,17,F,2,1367x8256 rep2,F8
1418,2,17,F,3,6069,parent
1826,2,17,F,4,9381,parent
